[2026-02-07--21-49-11 INFO actix_server::builder] starting 5 workers
[2026-02-07--21-49-11 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-02-07--21-49-11 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-02-07--21-49-22 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-02-07--21-49-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38468.
[2026-02-07--21-51-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:35126.
[2026-02-07--21-52-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51498.
[2026-02-07--21-53-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55858.
[2026-02-07--21-54-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50988.
[2026-02-07--21-55-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47540.
[2026-02-07--21-55-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37276.
[2026-02-07--21-55-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37282.
[2026-02-07--21-55-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37284.
[2026-02-07--22-03-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51400.
[2026-02-07--22-05-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60800.
[2026-02-07--22-05-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39296.
[2026-02-07--22-05-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53138.
[2026-02-07--22-05-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38906.
[2026-02-07--22-05-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:38910.
[2026-02-07--22-19-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33768.
[2026-02-07--22-21-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:36434.
[2026-02-07--22-21-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42866.
[2026-02-07--22-21-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41496.
[2026-02-07--22-21-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41512.
[2026-02-07--22-21-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41526.
[2026-02-07--22-27-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41132.
[2026-02-07--22-28-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43492.
[2026-02-07--22-29-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37692.
[2026-02-07--22-29-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44162.
[2026-02-07--22-29-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:44170.
